State Code,District Code,India / State / Union Territory / District,Name,Year,Age Group,Gender,Ethnic Group,Total / Rural / Urban,Value
00,000,India,India,2011,0-14,Female,Sikh,Urban,2163228
00,000,India,India,2011,0-14,Male,Buddhist,Urban,2389752
00,000,India,India,2011,0-14,Male,Christian,Urban,1974841
00,000,India,India,2011,0-14,Male,Hindu,Urban,2300004
00,000,India,India,2011,0-14,Male,Jain,Urban,2051964
00,000,India,India,2011,0-14,Male,Muslim,Urban,2249410
00,000,India,India,2011,0-14,Male,Parsi,Urban,2235661
00,000,India,India,2011,0-14,Male,Sikh,Urban,1849556
00,000,India,India,2011,0-14,Other,Buddhist,Urban,2132861
00,000,India,India,2011,0-14,Other,Christian,Urban,2262012
00,000,India,India,2011,0-14,Other,Hindu,Urban,2250945
00,000,India,India,2011,0-14,Other,Jain,Urban,1987272
00,000,India,India,2011,0-14,Other,Muslim,Urban,2417574
00,000,India,India,2011,0-14,Other,Parsi,Urban,2166981
00,000,India,India,2011,0-14,Other,Sikh,Urban,2008000
00,000,India,India,2011,15-24,Female,Buddhist,Urban,2098135
00,000,India,India,2011,15-24,Female,Christian,Urban,2269297
00,000,India,India,2011,15-24,Female,Hindu,Urban,2119410
00,000,India,India,2011,15-24,Female,Jain,Urban,2182690
00,000,India,India,2011,15-24,Female,Muslim,Urban,2093553
00,000,India,India,2011,15-24,Female,Parsi,Urban,2420871
00,000,India,India,2011,15-24,Female,Sikh,Urban,2254624
00,000,India,India,2011,15-24,Male,Buddhist,Urban,2159801
00,000,India,India,2011,15-24,Male,Christian,Urban,1865977
00,000,India,India,2011,15-24,Male,Hindu,Urban,2167461
00,000,India,India,2011,15-24,Male,Jain,Urban,2099283
00,000,India,India,2011,15-24,Male,Muslim,Urban,1808476
00,000,India,India,2011,15-24,Male,Parsi,Urban,2247477
00,000,India,India,2011,15-24,Male,Sikh,Urban,2377710
00,000,India,India,2011,15-24,Other,Buddhist,Urban,2029802
00,000,India,India,2011,15-24,Other,Christian,Urban,2284547
00,000,India,India,2011,15-24,Other,Hindu,Urban,1931412
00,000,India,India,2011,15-24,Other,Jain,Urban,2093923
00,000,India,India,2011,15-24,Other,Muslim,Urban,2023537
00,000,India,India,2011,15-24,Other,Parsi,Urban,2053442
00,000,India,India,2011,15-24,Other,Sikh,Urban,2068706
00,000,India,India,2011,25-44,Female,Buddhist,Urban,2464858
00,000,India,India,2011,25-44,Female,Christian,Urban,2358148
00,000,India,India,2011,25-44,Female,Hindu,Urban,2104939
00,000,India,India,2011,25-44,Female,Jain,Urban,1910745
00,000,India,India,2011,25-44,Female,Muslim,Urban,1835826
00,000,India,India,2011,25-44,Female,Parsi,Urban,2156328
00,000,India,India,2011,25-44,Female,Sikh,Urban,2082559
00,000,India,India,2011,25-44,Male,Buddhist,Urban,2288224
00,000,India,India,2011,25-44,Male,Christian,Urban,1806626
00,000,India,India,2011,25-44,Male,Hindu,Urban,2164417
00,000,India,India,2011,25-44,Male,Jain,Urban,2319453
00,000,India,India,2011,25-44,Male,Muslim,Urban,1993188
00,000,India,India,2011,25-44,Male,Parsi,Urban,2383876
00,000,India,India,2011,25-44,Male,Sikh,Urban,2066001
00,000,India,India,2011,25-44,Other,Buddhist,Urban,1984685
00,000,India,India,2011,25-44,Other,Christian,Urban,2396895
00,000,India,India,2011,25-44,Other,Hindu,Urban,1896555
00,000,India,India,2011,25-44,Other,Jain,Urban,2627584
00,000,India,India,2011,25-44,Other,Muslim,Urban,2187243
00,000,India,India,2011,25-44,Other,Parsi,Urban,2461856
00,000,India,India,2011,25-44,Other,Sikh,Urban,2243608
00,000,India,India,2011,45-59,Female,Buddhist,Urban,2287301
00,000,India,India,2011,45-59,Female,Christian,Urban,2251711
00,000,India,India,2011,45-59,Female,Hindu,Urban,2264948
00,000,India,India,2011,45-59,Female,Jain,Urban,2149148
00,000,India,India,2011,45-59,Female,Muslim,Urban,2192387
00,000,India,India,2011,45-59,Female,Parsi,Urban,2386319
00,000,India,India,2011,45-59,Female,Sikh,Urban,2182965
00,000,India,India,2011,45-59,Male,Buddhist,Urban,2068573
00,000,India,India,2011,45-59,Male,Christian,Urban,2016643
00,000,India,India,2011,45-59,Male,Hindu,Urban,2225276
00,000,India,India,2011,45-59,Male,Jain,Urban,2049919
00,000,India,India,2011,45-59,Male,Muslim,Urban,1997373
00,000,India,India,2011,45-59,Male,Parsi,Urban,1987590
00,000,India,India,2011,45-59,Male,Sikh,Urban,2082075
00,000,India,India,2011,45-59,Other,Buddhist,Urban,2318803
00,000,India,India,2011,45-59,Other,Christian,Urban,2149193
00,000,India,India,2011,45-59,Other,Hindu,Urban,2292753
00,000,India,India,2011,45-59,Other,Jain,Urban,2017619
00,000,India,India,2011,45-59,Other,Muslim,Urban,2118354
00,000,India,India,2011,45-59,Other,Parsi,Urban,2122981
00,000,India,India,2011,45-59,Other,Sikh,Urban,2247438
00,000,India,India,2011,60+,Female,Buddhist,Urban,2463994
00,000,India,India,2011,60+,Female,Christian,Urban,2181999
00,000,India,India,2011,60+,Female,Hindu,Urban,2174552
00,000,India,India,2011,60+,Female,Jain,Urban,2183179
00,000,India,India,2011,60+,Female,Muslim,Urban,1901816
00,000,India,India,2011,60+,Female,Parsi,Urban,2193066
00,000,India,India,2011,60+,Female,Sikh,Urban,1885812
00,000,India,India,2011,60+,Male,Buddhist,Urban,2270949
00,000,India,India,2011,60+,Male,Christian,Urban,2296675
00,000,India,India,2011,60+,Male,Hindu,Urban,1995945
00,000,India,India,2011,60+,Male,Jain,Urban,2463908
00,000,India,India,2011,60+,Male,Muslim,Urban,2127301
00,000,India,India,2011,60+,Male,Parsi,Urban,2056822
00,000,India,India,2011,60+,Male,Sikh,Urban,2136682
00,000,India,India,2011,60+,Other,Buddhist,Urban,2179172
00,000,India,India,2011,60+,Other,Christian,Urban,1965828
00,000,India,India,2011,60+,Other,Hindu,Urban,2125675
00,000,India,India,2011,60+,Other,Jain,Urban,2167179
00,000,India,India,2011,60+,Other,Muslim,Urban,2074848
00,000,India,India,2011,60+,Other,Parsi,Urban,2090526
00,000,India,India,2011,60+,Other,Sikh,Urban,2458103
00,000,India,India,2011,0-14,Female,Buddhist,Total,5906179
00,000,India,India,2011,0-14,Female,Christian,Total,5433312
00,000,India,India,2011,0-14,Female,Hindu,Total,5150887
00,000,India,India,2011,0-14,Female,Jain,Total,5606947
00,000,India,India,2011,0-14,Female,Muslim,Total,6117466
00,000,India,India,2011,0-14,Female,Parsi,Total,5606223
00,000,India,India,2011,0-14,Female,Sikh,Total,5586160
00,000,India,India,2011,0-14,Male,Buddhist,Total,5891417
00,000,India,India,2011,0-14,Male,Christian,Total,5791473
00,000,India,India,2011,0-14,Male,Hindu,Total,6039083
00,000,India,India,2011,0-14,Male,Jain,Total,5464070
00,000,India,India,2011,0-14,Male,Muslim,Total,6095070
00,000,India,India,2011,0-14,Male,Parsi,Total,5849648
00,000,India,India,2011,0-14,Male,Sikh,Total,5340250
00,000,India,India,2011,0-14,Other,Buddhist,Total,5932945
00,000,India,India,2011,0-14,Other,Christian,Total,5962787
00,000,India,India,2011,0-14,Other,Hindu,Total,6083146
00,000,India,India,2011,0-14,Other,Jain,Total,6178498
00,000,India,India,2011,0-14,Other,Muslim,Total,5994645
00,000,India,India,2011,0-14,Other,Parsi,Total,6053531
00,000,India,India,2011,0-14,Other,Sikh,Total,5527906
00,000,India,India,2011,15-24,Female,Buddhist,Total,5398965
00,000,India,India,2011,15-24,Female,Christian,Total,5614679
00,000,India,India,2011,15-24,Female,Hindu,Total,5581030
00,000,India,India,2011,15-24,Female,Jain,Total,6217862
00,000,India,India,2011,15-24,Female,Muslim,Total,5532960
00,000,India,India,2011,15-24,Female,Parsi,Total,6083545
00,000,India,India,2011,15-24,Female,Sikh,Total,5865127
00,000,India,India,2011,15-24,Male,Buddhist,Total,5234146
00,000,India,India,2011,15-24,Male,Christian,Total,5354005
00,000,India,India,2011,15-24,Male,Hindu,Total,6115639
00,000,India,India,2011,15-24,Male,Jain,Total,5619210
00,000,India,India,2011,15-24,Male,Muslim,Total,5269568
00,000,India,India,2011,15-24,Male,Parsi,Total,6068067
00,000,India,India,2011,15-24,Male,Sikh,Total,6337218
00,000,India,India,2011,15-24,Other,Buddhist,Total,5749407
00,000,India,India,2011,15-24,Other,Christian,Total,5670496
00,000,India,India,2011,15-24,Other,Hindu,Total,5930836
00,000,India,India,2011,15-24,Other,Jain,Total,5822851
00,000,India,India,2011,15-24,Other,Muslim,Total,5634126
00,000,India,India,2011,15-24,Other,Parsi,Total,6152107
00,000,India,India,2011,15-24,Other,Sikh,Total,5324796
00,000,India,India,2011,25-44,Female,Buddhist,Total,6489835
00,000,India,India,2011,25-44,Female,Christian,Total,5873308
00,000,India,India,2011,25-44,Female,Hindu,Total,5834008
00,000,India,India,2011,25-44,Female,Jain,Total,5437243
00,000,India,India,2011,25-44,Female,Muslim,Total,5505333
00,000,India,India,2011,25-44,Female,Parsi,Total,5606154
00,000,India,India,2011,25-44,Female,Sikh,Total,6193898
00,000,India,India,2011,25-44,Male,Buddhist,Total,6069091
00,000,India,India,2011,25-44,Male,Christian,Total,6254479
00,000,India,India,2011,25-44,Male,Hindu,Total,5714856
00,000,India,India,2011,25-44,Male,Jain,Total,5652840
00,000,India,India,2011,25-44,Male,Muslim,Total,5767622
00,000,India,India,2011,25-44,Male,Parsi,Total,5843182
00,000,India,India,2011,25-44,Male,Sikh,Total,5657205
00,000,India,India,2011,25-44,Other,Buddhist,Total,5372132
00,000,India,India,2011,25-44,Other,Christian,Total,5972392
00,000,India,India,2011,25-44,Other,Hindu,Total,5433582
00,000,India,India,2011,25-44,Other,Jain,Total,6245376
00,000,India,India,2011,25-44,Other,Muslim,Total,6576944
00,000,India,India,2011,25-44,Other,Parsi,Total,6424020
00,000,India,India,2011,25-44,Other,Sikh,Total,5467521
00,000,India,India,2011,45-59,Female,Buddhist,Total,5940829
00,000,India,India,2011,45-59,Female,Christian,Total,6448432
00,000,India,India,2011,45-59,Female,Hindu,Total,5773614
00,000,India,India,2011,45-59,Female,Jain,Total,5886193
00,000,India,India,2011,45-59,Female,Muslim,Total,5918572
00,000,India,India,2011,45-59,Female,Parsi,Total,5786185
00,000,India,India,2011,45-59,Female,Sikh,Total,5540291
00,000,India,India,2011,45-59,Male,Buddhist,Total,5861045
00,000,India,India,2011,45-59,Male,Christian,Total,5824627
00,000,India,India,2011,45-59,Male,Hindu,Total,5781797
00,000,India,India,2011,45-59,Male,Jain,Total,5494873
00,000,India,India,2011,45-59,Male,Muslim,Total,5249353
00,000,India,India,2011,45-59,Male,Parsi,Total,5916303
00,000,India,India,2011,45-59,Male,Sikh,Total,5448436
00,000,India,India,2011,45-59,Other,Buddhist,Total,5733835
00,000,India,India,2011,45-59,Other,Christian,Total,5567156
00,000,India,India,2011,45-59,Other,Hindu,Total,6050535
00,000,India,India,2011,45-59,Other,Jain,Total,6227210
00,000,India,India,2011,45-59,Other,Muslim,Total,5525842
00,000,India,India,2011,45-59,Other,Parsi,Total,6305579
00,000,India,India,2011,45-59,Other,Sikh,Total,5950340
00,000,India,India,2011,60+,Female,Buddhist,Total,6238151
00,000,India,India,2011,60+,Female,Christian,Total,5726294
00,000,India,India,2011,60+,Female,Hindu,Total,5755396
00,000,India,India,2011,60+,Female,Jain,Total,6290694
00,000,India,India,2011,60+,Female,Muslim,Total,5582694
00,000,India,India,2011,60+,Female,Parsi,Total,5888868
00,000,India,India,2011,60+,Female,Sikh,Total,5263104
00,000,India,India,2011,60+,Male,Buddhist,Total,6102984
00,000,India,India,2011,60+,Male,Christian,Total,6017155
00,000,India,India,2011,60+,Male,Hindu,Total,5956828
00,000,India,India,2011,60+,Male,Jain,Total,5769804
00,000,India,India,2011,60+,Male,Muslim,Total,5596203
00,000,India,India,2011,60+,Male,Parsi,Total,5245409
00,000,India,India,2011,60+,Male,Sikh,Total,5995164
00,000,India,India,2011,60+,Other,Buddhist,Total,6125625
00,000,India,India,2011,60+,Other,Christian,Total,5622390
00,000,India,India,2011,60+,Other,Hindu,Total,5887922
00,000,India,India,2011,60+,Other,Jain,Total,5611160
00,000,India,India,2011,60+,Other,Muslim,Total,5288774
00,000,India,India,2011,60+,Other,Parsi,Total,5587902
00,000,India,India,2011,60+,Other,Sikh,Total,6067903
00,000,India,India,2021,0-14,Female,Buddhist,Rural,3080674
00,000,India,India,2021,0-14,Female,Christian,Rural,3302050
00,000,India,India,2021,0-14,Female,Hindu,Rural,3543558
00,000,India,India,2021,0-14,Female,Jain,Rural,3282809
00,000,India,India,2021,0-14,Female,Muslim,Rural,3430586
00,000,India,India,2021,0-14,Female,Parsi,Rural,3256842
00,000,India,India,2021,0-14,Female,Sikh,Rural,3530610
00,000,India,India,2021,0-14,Male,Buddhist,Rural,3499878
00,000,India,India,2021,0-14,Male,Christian,Rural,3486695
00,000,India,India,2021,0-14,Male,Hindu,Rural,3665092
00,000,India,India,2021,0-14,Male,Jain,Rural,3294810
00,000,India,India,2021,0-14,Male,Muslim,Rural,3313344
00,000,India,India,2021,0-14,Male,Parsi,Rural,3468799
00,000,India,India,2021,0-14,Male,Sikh,Rural,3367747
00,000,India,India,2021,0-14,Other,Buddhist,Rural,2938079
00,000,India,India,2021,0-14,Other,Christian,Rural,3684603
00,000,India,India,2021,0-14,Other,Hindu,Rural,3314103
00,000,India,India,2021,0-14,Other,Jain,Rural,3240810
00,000,India,India,2021,0-14,Other,Muslim,Rural,3053766
00,000,India,India,2021,0-14,Other,Parsi,Rural,3407833
00,000,India,India,2021,0-14,Other,Sikh,Rural,3477982
00,000,India,India,2021,15-24,Female,Buddhist,Rural,3120689
00,000,India,India,2021,15-24,Female,Christian,Rural,3712844
00,000,India,India,2021,15-24,Female,Hindu,Rural,3255251
00,000,India,India,2021,15-24,Female,Jain,Rural,3522418
00,000,India,India,2021,15-24,Female,Muslim,Rural,3604911
00,000,India,India,2021,15-24,Female,Parsi,Rural,3389022
00,000,India,India,2021,15-24,Female,Sikh,Rural,3736057
00,000,India,India,2021,15-24,Male,Buddhist,Rural,3675393
00,000,India,India,2021,15-24,Male,Christian,Rural,3320249
00,000,India,India,2021,15-24,Male,Hindu,Rural,3052420
00,000,India,India,2021,15-24,Male,Jain,Rural,3509199
00,000,India,India,2021,15-24,Male,Muslim,Rural,3561648
00,000,India,India,2021,15-24,Male,Parsi,Rural,3463798
00,000,India,India,2021,15-24,Male,Sikh,Rural,3351029
00,000,India,India,2021,15-24,Other,Buddhist,Rural,3617936
00,000,India,India,2021,15-24,Other,Christian,Rural,3320041
00,000,India,India,2021,15-24,Other,Hindu,Rural,3468996
00,000,India,India,2021,15-24,Other,Jain,Rural,3349138
00,000,India,India,2021,15-24,Other,Muslim,Rural,3603394
00,000,India,India,2021,15-24,Other,Parsi,Rural,3561153
00,000,India,India,2021,15-24,Other,Sikh,Rural,3403867
00,000,India,India,2021,25-44,Female,Buddhist,Rural,2979705
00,000,India,India,2021,25-44,Female,Christian,Rural,3430389
00,000,India,India,2021,25-44,Female,Hindu,Rural,3409404
00,000,India,India,2021,25-44,Female,Jain,Rural,2746147
00,000,India,India,2021,25-44,Female,Muslim,Rural,3352311
00,000,India,India,2021,25-44,Female,Parsi,Rural,3909640
00,000,India,India,2021,25-44,Female,Sikh,Rural,3518670
00,000,India,India,2021,25-44,Male,Buddhist,Rural,3742627
00,000,India,India,2021,25-44,Male,Christian,Rural,3315298
00,000,India,India,2021,25-44,Male,Hindu,Rural,3542873
00,000,India,India,2021,25-44,Male,Jain,Rural,3747897
00,000,India,India,2021,25-44,Male,Muslim,Rural,3584968
00,000,India,India,2021,25-44,Male,Parsi,Rural,2880868
00,000,India,India,2021,25-44,Male,Sikh,Rural,3815034
00,000,India,India,2021,25-44,Other,Buddhist,Rural,3222619
00,000,India,India,2021,25-44,Other,Christian,Rural,2938004
00,000,India,India,2021,25-44,Other,Hindu,Rural,3234788
00,000,India,India,2021,25-44,Other,Jain,Rural,3091726
00,000,India,India,2021,25-44,Other,Muslim,Rural,3031207
00,000,India,India,2021,25-44,Other,Parsi,Rural,3843778
00,000,India,India,2021,25-44,Other,Sikh,Rural,2976201
00,000,India,India,2021,45-59,Female,Buddhist,Rural,3517168
00,000,India,India,2021,45-59,Female,Christian,Rural,3398203
00,000,India,India,2021,45-59,Female,Hindu,Rural,3038309
00,000,India,India,2021,45-59,Female,Jain,Rural,3580861
00,000,India,India,2021,45-59,Female,Muslim,Rural,3376371
00,000,India,India,2021,45-59,Female,Parsi,Rural,3283364
00,000,India,India,2021,45-59,Female,Sikh,Rural,3180618
00,000,India,India,2021,45-59,Male,Buddhist,Rural,3440481
00,000,India,India,2021,45-59,Male,Christian,Rural,4143910
00,000,India,India,2021,45-59,Male,Hindu,Rural,4292847
00,000,India,India,2021,45-59,Male,Jain,Rural,3411759
00,000,India,India,2021,45-59,Male,Muslim,Rural,3358198
00,000,India,India,2021,45-59,Male,Parsi,Rural,3704299
00,000,India,India,2021,45-59,Male,Sikh,Rural,3910204
00,000,India,India,2021,45-59,Other,Buddhist,Rural,3365001
00,000,India,India,2021,45-59,Other,Christian,Rural,3215527
00,000,India,India,2021,45-59,Other,Hindu,Rural,3253161
00,000,India,India,2021,45-59,Other,Jain,Rural,4060901
00,000,India,India,2021,45-59,Other,Muslim,Rural,3406919
00,000,India,India,2021,45-59,Other,Parsi,Rural,3912681
00,000,India,India,2021,45-59,Other,Sikh,Rural,3582799
00,000,India,India,2021,60+,Female,Buddhist,Rural,3986907
00,000,India,India,2021,60+,Female,Christian,Rural,3707338
00,000,India,India,2021,60+,Female,Hindu,Rural,3617047
00,000,India,India,2021,60+,Female,Jain,Rural,2873140
00,000,India,India,2021,60+,Female,Muslim,Rural,3198334
00,000,India,India,2021,60+,Female,Parsi,Rural,3639933
00,000,India,India,2021,60+,Female,Sikh,Rural,2957906
00,000,India,India,2021,60+,Male,Buddhist,Rural,3663094
00,000,India,India,2021,60+,Male,Christian,Rural,3457144
00,000,India,India,2021,60+,Male,Hindu,Rural,3335096
00,000,India,India,2021,60+,Male,Jain,Rural,3215847
00,000,India,India,2021,60+,Male,Muslim,Rural,3447280
00,000,India,India,2021,60+,Male,Parsi,Rural,3286461
00,000,India,India,2021,60+,Male,Sikh,Rural,3518978
00,000,India,India,2021,60+,Other,Buddhist,Rural,3618153
00,000,India,India,2021,60+,Other,Christian,Rural,3750990
00,000,India,India,2021,60+,Other,Hindu,Rural,3570424
00,000,India,India,2021,60+,Other,Jain,Rural,3337620
00,000,India,India,2021,60+,Other,Muslim,Rural,3541103
00,000,India,India,2021,60+,Other,Parsi,Rural,3131355
00,000,India,India,2021,60+,Other,Sikh,Rural,3490942
00,000,India,India,2021,0-14,Female,Buddhist,Urban,1691353
00,000,India,India,2021,0-14,Female,Christian,Urban,2011803
00,000,India,India,2021,0-14,Female,Hindu,Urban,1926477
00,000,India,India,2021,0-14,Female,Jain,Urban,2255943
00,000,India,India,2021,0-14,Female,Muslim,Urban,1968082
00,000,India,India,2021,0-14,Female,Parsi,Urban,1968649
00,000,India,India,2021,0-14,Female,Sikh,Urban,2111794
00,000,India,India,2021,0-14,Male,Buddhist,Urban,2227951
00,000,India,India,2021,0-14,Male,Christian,Urban,1995320
00,000,India,India,2021,0-14,Male,Hindu,Urban,2047915
00,000,India,India,2021,0-14,Male,Jain,Urban,1887583
00,000,India,India,2021,0-14,Male,Muslim,Urban,1972518
00,000,India,India,2021,0-14,Male,Parsi,Urban,1997794
00,000,India,India,2021,0-14,Male,Sikh,Urban,2035495
00,000,India,India,2021,0-14,Other,Buddhist,Urban,1958882
00,000,India,India,2021,0-14,Other,Christian,Urban,1823943
00,000,India,India,2021,0-14,Other,Hindu,Urban,2108716
00,000,India,India,2021,0-14,Other,Jain,Urban,2008824
00,000,India,India,2021,0-14,Other,Muslim,Urban,2015138
00,000,India,India,2021,0-14,Other,Parsi,Urban,1965794
00,000,India,India,2021,0-14,Other,Sikh,Urban,2381830
00,000,India,India,2021,15-24,Female,Buddhist,Urban,1885110
00,000,India,India,2021,15-24,Female,Christian,Urban,2169127
00,000,India,India,2021,15-24,Female,Hindu,Urban,1680050
00,000,India,India,2021,15-24,Female,Jain,Urban,2073409
00,000,India,India,2021,15-24,Female,Muslim,Urban,2351418
00,000,India,India,2021,15-24,Female,Parsi,Urban,2004815
00,000,India,India,2021,15-24,Female,Sikh,Urban,1885003
00,000,India,India,2021,15-24,Male,Buddhist,Urban,2029987
00,000,India,India,2021,15-24,Male,Christian,Urban,2241700
00,000,India,India,2021,15-24,Male,Hindu,Urban,1738304
00,000,India,India,2021,15-24,Male,Jain,Urban,2420145
00,000,India,India,2021,15-24,Male,Muslim,Urban,2035360
00,000,India,India,2021,15-24,Male,Parsi,Urban,2037814
00,000,India,India,2021,15-24,Male,Sikh,Urban,1924715
00,000,India,India,2021,15-24,Other,Buddhist,Urban,2201195
